distance_overtaker;distance_stationary;direction;way_id;course;speed;time;geometry
1,12;1,9000000000000001;1;16353241,0;4,680015915286998;3,7222222222222223;2022-08-01 14:43:30+00:00;POINT (14.355698343 51.793135909)
1,35;1,6500000000000001;1;16353241,0;4,424241753131583;4,611111111111112;2022-08-01 14:43:35+00:00;POINT (14.355612116 51.792939735)
1,21;2,07;1;150746927,0;0,864951317900901;3,6944444444444446;2022-08-01 14:49:24+00:00;POINT (14.358004402 51.7906645)
0,99;0,51;-1;127010194,0;4,52809233428375;3,555555555555556;2022-08-01 10:11:42+00:00;POINT (14.321598125 51.767727302)
1,31;1,05;-1;127010194,0;4,543011757795648;3,3888888888888884;2022-08-01 10:11:45+00:00;POINT (14.321567617 51.767632792)
1,32;1,5;-1;128572896,0;3,2090045996846723;4,416666666666667;2022-08-01 10:13:38+00:00;POINT (14.316198133 51.765378481)
1,3;1,61;-1;128572896,0;3,2205789251521977;4,527777777777778;2022-08-01 10:13:40+00:00;POINT (14.316036889 51.765362349)
1,2;2,16;-1;128572896,0;3,2271109944107117;4,583333333333333;2022-08-01 10:13:43+00:00;POINT (14.315811532 51.765344875)
1,48;1,85;-1;128572896,0;3,2195264916132458;4,583333333333333;2022-08-01 10:13:48+00:00;POINT (14.315415207 51.765316114)
1,03;1,46;-1;897114840,0;3,048969077384005;1,472222222222222;2022-08-01 10:14:16+00:00;POINT (14.313740852 51.765242297)
1,18;1,61;-1;897114840,0;2,8382362781689583;0,8611111111111112;2022-08-01 10:14:18+00:00;POINT (14.31372333 51.765241807)
1,37;2,19;1;127010475,0;0,28880783437498614;4,777777777777778;2022-08-01 10:14:40+00:00;POINT (14.315215627 51.765464553)
1,12;1,9000000000000001;1;127010475,0;0,18727592313409394;4,611111111111112;2022-08-01 10:14:42+00:00;POINT (14.315390051 51.765472696)
1,47;2,0300000000000002;1;128572896,0;0,4172199104916932;5,194444444444444;2022-08-01 10:15:42+00:00;POINT (14.320019207 51.766217094)
0,98;2,44;1;128572896,0;0,4735678653923302;4,972222222222221;2022-08-01 10:15:45+00:00;POINT (14.320208839 51.766260784)
1,33;1,86;1;128572896,0;0,2956860024241705;5,138888888888888;2022-08-01 10:15:53+00:00;POINT (14.320803562 51.766376756)
1,81;;1;128572896,0;0,2850344325321744;5,166666666666667;2022-08-01 10:15:54+00:00;POINT (14.320880513 51.766389398)
2,13;;-1;141561211,0;6,115972641928868;4,777777777777778;2022-08-01 10:16:35+00:00;POINT (14.323927141 51.76626223)
1,33;;-1;141561211,0;6,095312481441311;4,777777777777778;2022-08-01 10:16:39+00:00;POINT (14.324199104 51.766226595)
1,96;2,08;-1;141561211,0;6,104516998850478;4,916666666666666;2022-08-01 10:17:03+00:00;POINT (14.325944004 51.766005451)
1,18;1,32;-1;141561211,0;6,084292123478368;4,861111111111111;2022-08-01 10:17:05+00:00;POINT (14.326089402 51.765986522)
1,1300000000000001;1,6500000000000001;-1;141561211,0;6,056258994098685;4,861111111111111;2022-08-01 10:17:07+00:00;POINT (14.326235723 51.765967472)
1,09;1,74;-1;141561211,0;6,062054883478708;4,888888888888889;2022-08-01 10:17:09+00:00;POINT (14.326377564 51.765949006)
;1,03;1;129138633,0;0,15710005303173802;3,2777777777777777;2022-08-01 10:18:09+00:00;POINT (14.327954198 51.765743583)
0,68;1,23;1;129138633,0;0,1818704639077424;3,611111111111111;2022-08-01 10:18:11+00:00;POINT (14.328054582 51.765730637)
